,Product Name,Prices
1,Luka 2 'Luk.AI' PF,MRP :11 895.00
2,Air Jordan 1 Low,MRP :8 995.00
3,Air Jordan 1 Mid SE,MRP :11 895.00
4,Jordan Stadium 90,MRP :12 795.00
5,Air Jordan 6 Retro,MRP :18 395.00
6,Air Jordan 5 Retro SE Craft,MRP :19 295.00
7,Jordan Stay Loyal 2,MRP :10 295.00
8,Air Jordan 1 Elevate High,MRP :14 195.00
9,Jumpman Two Trey,MRP :13 995.00
10,Jumpman MVP,MRP :15 295.00
11,Air Jordan Low SE,MRP :10 295.00
12,Air Jordan 1 Retro High OG,MRP :16 995.00
13,Jordan 1 Low Alt,MRP :5 095.00
14,Jordan 1 Low Alt,MRP :4 395.00
15,Sky Jordan 1,MRP :3 495.00
16,Jordan 23/7,MRP :4 995.00
17,Jordan 23/7,MRP :3 995.00
18,Air Jordan 1 Mid SE,MRP :12 295.00
19,Air Jordan 4 Retro,MRP :10 995.00
20,Air Jordan 13 Retro,MRP :16 595.00
21,Air Jordan 7 Retro SE,MRP :19 295.00
22,Air Jordan 2 Retro Low Titan,MRP :20 295.00
23,Air Jordan 5 x DJ Khaled,MRP :20 295.00
24,Air Jordan 1 Zoom CMFT 2,MRP :13 295.00
